insecte_sc,insecte_fr,Ordre,Super famille,Famille,Sous famille,Genre,Espèce
Satyrium spini,Le Thécla des Nerpruns,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Satyrium,Satyrium spini
Anthidium punctatum,L'Anthidie à points,Hymenoptera,Apoidea,Megachilidae,Megachilinae,Anthidium,Anthidium punctatum
Mutillidae,Les Mutilles (femelles),Hymenoptera,Pompiloidea,Mutillidae,,,
Odontomyia,Les Stratiomes fauves,Diptera,,Stratiomyidae,Stratiomyinae,Odontomyia,
Glaucopsyche melanops,L'Azuré de la Badasse,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Glaucopsyche,Glaucopsyche melanops
Eupithecia et autres,Les Eupithécies,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Eupithecia,
Hipparchia fidia,Le Chevron blanc,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Hipparchia,Hipparchia fidia
Mutilla europaea,La Mutille européenne (mâle),Hymenoptera,Pompiloidea,Mutillidae,Mutillinae,Mutilla,Mutilla europaea
Papilio hospiton,Le Porte-queue de Corse,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilio,Papilio hospiton
Dascillus cervinus,Le Dascillide,Coleoptera,Dascilloidea,Dascillidae,,Dascillus,Dascillus cervinus
Zygaena rhadamanthus,La Zygène de l'Esparcette,Lepidoptera,Zygaenoidea,Zygaenidae,Zygaeninae,Zygaena,Zygaena rhadamanthus
Ptinomorphus imperialis,Le Ptinomorphe impérial,Coleoptera,Bostrichoidea,Ptinidae,Eucradinae,Ptinomorphus,Ptinomorphus imperialis
Anthocharis euphenoides,L'Aurore de Provence (mâle),Lepidoptera,Papilionoidea,Pieridae,Pierinae,Anthocharis,Anthocharis euphenoides
Scolitantides orion,L'Azuré des Orpins,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Scolitantides,Scolitantides orion
Acmaeodera pilosellae,L'Acméodère de la Piloselle,Coleoptera,Buprestoidea,Buprestidae,Polycestinae,Acmaeodera,Acmaeodera pilosellae
Thanatus,Les Araignées crabes Thanatus,Araneae,,Philodromidae,,Thanatus,
Stratiomys longicornis,Le Stratiome terne,Diptera,,Stratiomyidae,Stratiomyinae,Stratiomys,Stratiomys longicornis
Ancyrosoma leucogrammes,La Punaise Ancyrosoma,Hemiptera,Pentatomoidea,Pentatomidae,Podopinae,Ancyrosoma,Ancyrosoma leucogrammes
Maculinea nausithous,L'Azuré des Paluds,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Phengaris,Phengaris nausithous
Purpuricenus,Les Purpuricènes,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Purpuricenus,
Pyronia bathseba,L'Ocelle rubanné,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Maniola,Maniola bathseba
"Malthinus, Malthodes",Les Malthinus et Malthodes à points jaunes,Coleoptera,Elateroidea,Cantharidae,Malthininae,Malthodes,
Ptosima undecimmaculata,Le Bupreste à taches jaunes,Coleoptera,Buprestoidea,Buprestidae,Polycestinae,Ptosima,Ptosima undecimmaculata
Eurrhypara hortulata,La Pyrale de l'Ortie,Lepidoptera,Pyraloidea,Crambidae,Pyraustinae,Eurrhypara,Eurrhypara hortulata
Cyrtus gibbus,Le Cyrtus,Diptera,Nemestrinoidea,Acroceridae,,Cyrtus,Cyrtus gibbus
Agriades glandon,Les Azurés de haute montagne (Alpes),Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Agriades,Agriades glandon
Sceliphron,Les Pélopées à pétiole jaune,Hymenoptera,Apoidea,Sphecidae,Sceliphrinae,Sceliphron,
Satyrium w-album,Le Thécla de l'Orme,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Satyrium,Satyrium w-album
Chorosoma schillingii,Le Chorosome,Hemiptera,Coreoidea,Rhopalidae,,Chorosoma,Chorosoma schillingii
Euphydryas cynthia,Le Damier de l'Alchémille (mâle),Lepidoptera,Papilionoidea,Nymphalidae,Nymphalinae,Euphydryas,Euphydryas cynthia
Lithosia quadra,La Lithosie quadrille (femelle),Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosia,Lithosia quadra
Eumedonia eumedon,L'Argus de la Sanguinaire,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Eumedonia,Eumedonia eumedon
Zanclognatha,Les Herminies,Lepidoptera,Noctuoidea,Erebidae,Herminiinae,Zanclognatha,
Milesia semiluctifera,La Milésie bigarée,Diptera,Syrphoidea,Syrphidae,Eristalinae,Milesia,Milesia semiluctifera
Angerona prunaria,L'Angéronie du Prunier,Lepidoptera,Geometroidea,Geometridae,Ennominae,Angerona,Angerona prunaria
Myrmus miriformis,Le Myrmus,Hemiptera,Coreoidea,Rhopalidae,,Myrmus,Myrmus miriformis
Zerynthia rumina,La Proserpine,Lepidoptera,Papilionoidea,Papilionidae,Parnassiinae,Zerynthia,Zerynthia rumina
Pseudophilotes baton,L'Azuré du Thym (mâle),Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Pseudophilotes,Pseudophilotes baton
Conophorus,Les Conophores,Diptera,Asiloidea,Bombyliidae,Bombyliinae,Conophorus,
Calambus bipustulatus,Le Taupin à 2 taches,Coleoptera,Elateroidea,Elateridae,Prosterninae,Calambus,Calambus bipustulatus
Timandra comae,La Timandre aimée,Lepidoptera,Geometroidea,Geometridae,Sterrhinae,Timandra,Timandra comae
Melanargia occitanica,L'Echiquier d'Occitanie,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Melanargia,Melanargia occitanica
Satyrium pruni,Le Thécla du Prunier,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Satyrium,Satyrium pruni
Stratiomys singularior,Le Stratiome singularior,Diptera,,Stratiomyidae,Stratiomyinae,Stratiomys,Stratiomys singularior
Amata,Les Syntomies,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Amata,
Coenonympha corinna,Le Fadet tyrrhénien,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Coenonympha,Coenonympha corinna
Danaus chrysippus,Le Petit Monarque,Lepidoptera,Papilionoidea,Nymphalidae,Danainae,Danaus,Danaus chrysippus
Nudaria mundana,La Mondaine,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Nudaria,Nudaria mundana
Hipparchia et autres,Les Agrestes (Corse),Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Hipparchia,
Mutillidae,Les Mutilles (autres mâles),Hymenoptera,Pompiloidea,Mutillidae,,,
Aromia moschata,L'Aromie musquée,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Aromia,Aromia moschata
Setina aurita,L'Ecaille alpine,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Setina,Setina aurita
Sceliphron curvatum,Le Pélopée à pattes roussâtres,Hymenoptera,Apoidea,Sphecidae,Sceliphrinae,Sceliphron,Sceliphron curvatum
Pelosia,Les Lithosies muscerde et obuste,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Pelosia,
Attagenus punctatus,Le Dermeste à points blancs,Coleoptera,Bostrichoidea,Dermestidae,Attageninae,Lanorus,Lanorus punctatus
Usia,Les Usies,Diptera,Asiloidea,Bombyliidae,,Usia,
Vadonia unipunctata,La Vadonie à 1 point,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Vadonia,Vadonia unipunctata
Parnassius mnemosyne,Le Semi-Apollon,Lepidoptera,Papilionoidea,Papilionidae,Parnassiinae,Parnassius,Parnassius mnemosyne
Erebia manto,Le Moiré variable,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Erebia,Erebia manto
Chlorophorus pilosus,Le Clyte poilu,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Chlorophorus,Chlorophorus pilosus
Agrius convolvuli,Le Sphinx du Liseron,Lepidoptera,Bombycoidea,Sphingidae,Sphinginae,Agrius,Agrius convolvuli
Pyrgus sidae,L'Hespérie à bandes jaunes,Lepidoptera,Hesperioidea,Hesperiidae,Pyrginae,Pyrgus,Pyrgus sidae
Noctua pronuba,Le Hibou,Lepidoptera,Noctuoidea,Noctuidae,Noctuinae,Noctua,Noctua pronuba
Atolmis rubricollis,La Veuve,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Atolmis,Atolmis rubricollis
Gnorimus variabilis,Le Gnorimus sombre,Coleoptera,Scarabaeoidea,Scarabaeidae,Trichiinae,Gnorimus,Gnorimus variabilis
Quercusia quercus,Le Thécla du Chêne,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Hypaurotis,Hypaurotis quercus
Argynnis pandora,Le Cardinal,Lepidoptera,Papilionoidea,Nymphalidae,Heliconiinae,Argynnis,Argynnis pandora
Deilephila porcellus,Le Petit Sphinx de la Vigne,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Deilephila,Deilephila porcellus
"Paidia, Thumatha",Les Lithosies à ailes larges,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Thumatha,
Aspitates ochrearia,L'Aspilate ochracée,Lepidoptera,Geometroidea,Geometridae,Ennominae,Aspitates,Aspitates ochrearia
Utetheisa pulchella,L'Ecaille du Myosotis,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Utetheisa,Utetheisa pulchella
Laspeyria flexula,Le Crochet,Lepidoptera,Noctuoidea,Erebidae,Erebinae,Laspeyria,Laspeyria flexula
Clitellaria ephippium,La Clitellaire,Diptera,,Stratiomyidae,Clitellariinae,Clitellaria,Clitellaria ephippium
Laeosopis roboris,Le Thécla du Frêne,Lepidoptera,Papilionoidea,Lycaenidae,Theclinae,Laeosopis,Laeosopis roboris
Alucitidae,Les Alucitides,Lepidoptera,Alucitoidea,Alucitidae,,,
Haematopota pluvialis,Le Taon des pluies,Diptera,Tabanoidea,Tabanidae,Tabaninae,Haematopota,Haematopota pluvialis
Phlogophora meticulosa,La Méticuleuse,Lepidoptera,Noctuoidea,Noctuidae,Hadeninae,Phlogophora,Phlogophora meticulosa
Rhagium bifasciatum,La Rhagie à 2 bandes,Coleoptera,Chrysomeloidea,Cerambycidae,Lepturinae,Rhagium,Rhagium bifasciatum
Psodos quadrifaria,Le Ruban fauve,Lepidoptera,Geometroidea,Geometridae,Ennominae,Psodos,Psodos quadrifaria
Chlorophorus ruficornis,Le Chlorophore soufré,Coleoptera,Chrysomeloidea,Cerambycidae,Cerambycinae,Chlorophorus,Chlorophorus ruficornis
Laothoe populi,Le Sphinx du Peuplier,Lepidoptera,Bombycoidea,Sphingidae,Smerinthinae,Laothoe,Laothoe populi
Callimorpha dominula,L'Ecaille marbrée,Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Callimorpha,Callimorpha dominula
Opisthograptis luteolata,La Citronnelle rouillée,Lepidoptera,Geometroidea,Geometridae,Ennominae,Opisthograptis,Opisthograptis luteolata
Melanargia russiae,L'Echiquier de Russie,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Melanargia,Melanargia russiae
Aplocera,Les Rayures,Lepidoptera,Geometroidea,Geometridae,Larentiinae,Aplocera,
Eclimus gracilis,Le Bombyle Eclimus,Diptera,Asiloidea,Bombyliidae,,Eclimus,Eclimus gracilis
Korynetes et autres,Les Clairons brillants,Coleoptera,Cleroidea,Cleridae,Korynetinae,Korynetes,
Papilio alexanor,L'Alexanor,Lepidoptera,Papilionoidea,Papilionidae,Papilioninae,Papilio,Papilio alexanor
Smerinthus ocellata,Le Sphinx demi-paon,Lepidoptera,Bombycoidea,Sphingidae,Smerinthinae,Smerinthus,Smerinthus ocellata
"Sphinx maurorum, Sphinx pinastri",Les Sphinx du Pin et mauresque,Lepidoptera,Bombycoidea,Sphingidae,Sphinginae,Sphinx,Sphinx pinastri
Oberea erythrocephala,Le Longicorne Oberea,Coleoptera,Chrysomeloidea,Cerambycidae,Lamiinae,Oberea,Oberea erythrocephala
Hyles livornica,Le Sphinx livournien,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Hyles,Hyles livornica
Erebia,Les Moirés sans ocelles,Lepidoptera,Papilionoidea,Nymphalidae,Satyrinae,Erebia,
Lithosia quadra,La Lithosie quadrille (mâle),Lepidoptera,Noctuoidea,Erebidae,Arctiinae,Lithosia,Lithosia quadra
Heteropterus morpheus,Le Miroir,Lepidoptera,Hesperioidea,Hesperiidae,Heteropterinae,Heteropterus,Heteropterus morpheus
Anarta myrtilli,La Noctuelle de la Myrtille,Lepidoptera,Noctuoidea,Noctuidae,Hadeninae,Anarta,Anarta myrtilli
Dasyscolia ciliata,La Scolie de l'Ophrys miroir,Hymenoptera,Scolioidea,Scoliidae,,Dasyscolia,Dasyscolia ciliata
Proserpinus proserpina,Le Sphinx de l'Epilobe,Lepidoptera,Bombycoidea,Sphingidae,Macroglossinae,Proserpinus,Proserpinus proserpina
Agriades optilete,L'Azuré de la Canneberge,Lepidoptera,Papilionoidea,Lycaenidae,Polyommatinae,Agriades,Agriades optilete
"Bena, Pseudoips",Les Halias,Lepidoptera,Noctuoidea,Nolidae,Chloephorinae,Pseudoips,
